item_id,preco,desconto,data,score
MLB48955624,173.9,41.0,2026-06-18 10:20,82
MLB110345645894,240.94,39.0,2026-06-18 10:20,82
MLB41975964,6599.0,17.0,2026-06-18 10:20,63
MLB779362,1444.0,36.0,2026-06-18 10:20,72
MLB19542141,62.0,37.0,2026-06-18 10:20,82
MLB34801962,716.4,47.0,2026-06-18 10:20,72
MLB85461139997,255.99,36.0,2026-06-18 10:20,82
MLB68838381,28.87,63.0,2026-06-18 10:20,75
MLB24438946,284.99,26.0,2026-06-18 10:20,79
MLB58582424,57.77,37.0,2026-06-18 10:20,82
MLB27174916,24.79,22.0,2026-06-18 10:20,63
MLB22805343,533.5,6.0,2026-06-18 10:20,55
MLB55898949,192.9,35.0,2026-06-18 10:20,82
MLB100882551263,109.03,26.0,2026-06-18 10:20,79
MLB86033825762,158.27,28.0,2026-06-18 10:20,79
MLB65131882,19.3,44.0,2026-06-18 10:20,72
MLB65530475,45.82,42.0,2026-06-18 10:20,82
MLB93955563541,306.99,48.0,2026-06-18 10:20,82
MLB58579835,46.77,47.0,2026-06-18 10:20,82
MLB39156440,59.9,48.0,2026-06-18 10:20,82
MLB113308850529,138.9,51.0,2026-06-18 10:20,85
MLB61669343,56.77,40.0,2026-06-18 10:20,82
MLB107833879506,165.89,46.0,2026-06-18 10:20,82
MLB110805634459,178.99,40.0,2026-06-18 10:20,82
MLB62043239,639.2,64.0,2026-06-18 10:20,75
MLB112706258071,29.9,40.0,2026-06-18 10:20,72
MLB51586079,145.0,27.0,2026-06-18 10:20,79
MLB96292389413,180.14,20.0,2026-06-18 10:20,78
MLB54034711,486.28,42.0,2026-06-18 10:20,82
MLB25979638,1729.0,21.0,2026-06-18 10:20,63
MLB77908142830,51.2,32.0,2026-06-18 10:20,79
MLB21830308,559.0,32.0,2026-06-18 10:20,69
MLB111509654802,34.8,36.0,2026-06-18 10:20,82
MLB108875633353,60.7,44.0,2026-06-18 10:20,82
MLB89374143383,94.9,32.0,2026-06-18 10:20,79
MLB6664766808,73.36,25.0,2026-06-18 10:20,79
MLB71803949208,55.77,29.0,2026-06-18 10:20,79
MLB95848039523,32.95,44.0,2026-06-18 10:20,82
MLB62162205,48.77,45.0,2026-06-18 10:20,82
MLB93930023177,85.43,21.0,2026-06-18 10:20,73
MLB83332404511,265.99,31.0,2026-06-18 10:20,79
MLB112808924525,27.53,41.0,2026-06-18 10:20,72
MLB89460924740,108.7,27.0,2026-06-18 10:20,79
MLB112061288981,113.62,33.0,2026-06-18 10:20,79
MLB45532516,27.93,37.0,2026-06-18 10:20,72
MLB111256104870,39.9,55.0,2026-06-18 10:20,85
MLB83357220054,56.99,27.0,2026-06-18 10:20,79
MLB12465919,32.57,52.0,2026-06-18 10:20,85
MLB86088934078,59.21,13.0,2026-06-18 10:20,65
MLB29723565,34.99,49.0,2026-06-18 10:20,87
MLB28859007,132.05,51.0,2026-06-18 10:20,90
MLB62042884,1359.2,55.0,2026-06-18 10:20,75
MLB109195889583,53.63,41.0,2026-06-18 10:20,87
MLB63648098,660.0,67.0,2026-06-18 10:20,75
MLB105511107400,85.4,48.0,2026-06-18 10:20,82
MLB21862682,60.0,33.0,2026-06-18 10:20,79
MLB93205744763,219.99,55.0,2026-06-18 10:20,85
MLB28118778,417.12,45.0,2026-06-18 10:20,82
MLB63419803,505.91,42.0,2026-06-18 10:20,72
MLB50997160,590.9,65.0,2026-06-18 10:20,80
MLB54252474,189.0,32.0,2026-06-18 10:20,79
MLB29614932,73.62,45.0,2026-06-18 10:20,82
MLB111112711213,106.43,29.0,2026-06-18 10:20,79
MLB111287768550,30.99,37.0,2026-06-18 10:20,82
MLB63550920,759.9,46.0,2026-06-18 10:20,72
MLB83623356128,65.76,16.0,2026-06-18 10:20,78
MLB60204100,56.9,43.0,2026-06-18 10:20,82
MLB31768611,138.9,50.0,2026-06-18 10:20,90
